,label,theta 0,theta 1,theta 2,theta 3,theta 4,theta 5
0,1.0,164.34602101697052,156.8349775488396,124.0181901546412,58306.80613976221,45226.12156765832,50800.20968595635
1,1.0,100.88928234841245,157.66847434366574,118.22435306950675,54756.73955467847,68418.90263156997,55305.535472426025
2,1.0,186.19862859148714,110.00431638434536,139.14465122601402,59652.27220259726,88472.82768485663,46674.29454948129
3,1.0,181.83333121770187,137.04842293756133,186.10165440061706,56786.0037427347,58850.57678162953,54280.12099148693
4,1.0,137.27109565271297,166.74850333067855,161.70101156743982,55964.763930257395,50396.83363153551,54104.539199965904
5,1.0,170.79155847026362,100.8753310653557,154.82268962666424,58686.28474408146,58618.419743446,53700.988346644226
6,1.0,116.87903742781576,161.6459906615204,100.39571731255215,55156.66160770612,48315.28606360627,49794.15054921573
7,1.0,174.60949949430665,181.13285661152162,173.4549434279786,55778.75489788457,73827.46632205881,51908.449669432244
8,1.0,126.49128294592617,119.32530437750343,144.54922265511152,57029.465377763816,50548.62851856107,53072.33783193094
9,1.0,156.3630164080885,151.52563542495412,138.1358784289569,58960.73725534043,83943.87770711846,47863.898336809194
10,1.0,152.64041739678999,181.6547176836456,119.30036403597182,54601.937350922395,76785.44271400645,48628.2632578562
11,1.0,186.26404285742075,130.75911882156765,128.8633839392273,60287.79968903724,60368.412935856686,51627.59571699215
12,1.0,130.3798515478513,144.28142901911005,140.16497927815496,54117.360006866074,63717.42834868521,49219.784408900974
13,1.0,194.59630799546153,175.87021167933813,136.90480611357196,55727.26987826578,80904.70487081163,49668.05118285327
14,1.0,145.47800314118206,134.41637798147715,178.74217547847763,57648.226210721325,57717.648076233534,50720.405366683626
15,1.0,198.3589909950179,167.35230012521293,168.46124026046897,59050.736364528224,52695.484258084856,54628.58595070501
16,1.0,191.11735300453824,167.82084724869452,118.10557014624862,55916.984375749125,66334.34478251047,51810.23718156049
17,1.0,128.69079334381127,173.4297764995166,192.18811176034134,55996.44642116612,60888.597530851606,56328.413526549215
18,1.0,181.6815909116089,164.55369808919824,110.03540898137429,57726.20207567876,80519.15842627021,46938.15376157603
19,1.0,102.85166968762448,100.34177688852314,155.73969634879097,54201.23458135856,74914.71423287079,53526.75499327948
20,1.0,131.0790986438832,107.37371702900356,191.61769880425123,54190.428020348714,87158.03225118353,51975.624759731814
21,1.0,116.26864271683694,158.75665071658892,180.22684012822063,55874.187096302594,66597.75206528846,57371.52265238143
22,1.0,124.21946169568018,156.05913854883767,170.87788004749922,56934.77942800416,83687.7802714814,54404.087932667426
23,1.0,184.45911661649455,133.49009648697557,135.1925940496887,57481.83406458044,47071.86500549598,48223.365324543214
24,1.0,144.87699550185718,107.07280035151167,163.08146838990382,55522.823890608444,59026.81064372607,51459.89200159068
25,1.0,113.52263907107789,198.2366984928563,160.1812212993121,53244.64164409099,69578.87874058039,54084.250338790756
26,1.0,199.06034305288588,176.56598566415832,155.6095997940188,60908.05973048185,49872.69883740733,55876.38814636982
27,1.0,100.23675174956169,156.08086499825333,141.3029293597936,55551.79070418973,48075.459416473976,50482.16095168072
